Date,Price,Change %
12/6/22,3945,-1.46%
12/5/22,4003.25,-1.77%
12/2/22,4075.5,-0.15%
12/1/22,4081.75,0.01%
11/30/22,4081.25,3.01%
11/29/22,3962,-0.21%
11/28/22,3970.25,-1.54%
11/25/22,4032.5,-0.01%
11/23/22,4033,0.57%
11/22/22,4010.25,1.32%
11/21/22,3958,-0.40%
11/18/22,3974,0.47%
11/17/22,3955.25,-0.33%
11/16/22,3968.5,-0.78%
11/15/22,3999.5,0.84%
11/14/22,3966,-0.86%
11/11/22,4000.25,0.99%
11/10/22,3961,5.47%
11/9/22,3755.5,-2.08%
11/8/22,3835.25,0.52%
11/7/22,3815.25,0.95%
11/4/22,3779.5,1.39%
11/3/22,3727.75,-1.09%
11/2/22,3768.75,-2.52%
11/1/22,3866,-0.44%
10/31/22,3883,-0.72%
10/28/22,3911.25,2.40%
10/27/22,3819.5,-0.56%
10/26/22,3841,-0.76%
10/25/22,3870.25,1.60%
10/24/22,3809.25,1.20%
10/21/22,3764,2.41%
10/20/22,3675.25,-0.86%
10/19/22,3707.25,-0.68%
10/18/22,3732.75,1.18%
10/17/22,3689.25,2.55%
10/14/22,3597.5,-2.29%
10/13/22,3681.75,2.60%
10/12/22,3588.5,-0.30%
10/11/22,3599.25,-0.72%
10/10/22,3625.25,-0.77%
10/7/22,3653.25,-2.76%
10/6/22,3756.75,-0.98%
10/5/22,3794,-0.24%
10/4/22,3803.25,3.06%
10/3/22,3690.25,2.46%
9/30/22,3601.5,-1.44%
9/29/22,3654.25,-2.08%
9/28/22,3732,1.94%
9/27/22,3661,-0.25%
9/26/22,3670,-1.05%
9/23/22,3709,-1.67%
9/22/22,3772,-0.90%
9/21/22,3806.25,-1.72%
9/20/22,3872.75,-1.14%
9/19/22,3917.25,0.70%
9/16/22,3890,-0.75%
9/15/22,3919.25,-1.17%
9/14/22,3965.5,0.87%
9/13/22,3931.25,-4.37%
9/12/22,4110.75,1.07%
9/9/22,4067.25,1.54%
9/8/22,4005.5,0.64%
9/7/22,3980,1.78%
9/6/22,3910.5,-0.36%
9/2/22,3924.5,-1.11%
9/1/22,3968.75,0.31%
8/31/22,3956.5,-0.78%
8/30/22,3987.5,-1.09%
8/29/22,4031.25,-0.70%
8/26/22,4059.5,-3.37%
8/25/22,4201,1.41%
8/24/22,4142.75,0.30%
8/23/22,4130.5,-0.26%
8/22/22,4141.25,-2.13%
8/19/22,4231.5,-1.28%
8/18/22,4286.5,0.23%
8/17/22,4276.75,-0.72%
8/16/22,4307.75,0.22%
8/15/22,4298.25,0.40%
8/12/22,4281,1.69%
8/11/22,4209.75,-0.01%
8/10/22,4210,2.07%
8/9/22,4124.5,-0.42%
8/8/22,4141.75,-0.12%
8/5/22,4146.75,-0.13%
8/4/22,4152.25,-0.10%
8/3/22,4156.25,1.53%
8/2/22,4093.75,-0.65%
8/1/22,4120.5,-0.31%
7/29/22,4133.5,1.47%
7/28/22,4073.5,1.22%
7/27/22,4024.5,2.58%
7/26/22,3923.25,-1.18%
7/25/22,3970,0.13%
7/22/22,3965,-0.91%
7/21/22,4001.25,0.98%
7/20/22,3962.5,0.63%
7/19/22,3937.5,2.71%
7/18/22,3833.75,-0.81%
7/15/22,3865,1.89%
7/14/22,3793.25,-0.30%
7/13/22,3804.5,-0.50%
7/12/22,3823.75,-0.86%
7/11/22,3856.75,-1.14%
7/8/22,3901.25,-0.10%
7/7/22,3905,1.47%
7/6/22,3848.25,0.37%
7/5/22,3834,0.18%
7/1/22,3827.25,1.00%
6/30/22,3789.5,-0.83%
6/29/22,3821.25,-0.11%
6/28/22,3825.5,-2.00%
6/27/22,3903.75,-0.32%
6/24/22,3916.25,3.07%
6/23/22,3799.75,0.98%
6/22/22,3762.75,-0.13%
6/21/22,3767.75,2.50%
6/17/22,3675.75,0.12%
6/16/22,3671.25,-3.22%
6/15/22,3793.5,1.52%
6/14/22,3736.75,-0.37%
6/13/22,3750.5,-3.81%
6/10/22,3899,-2.92%
6/9/22,4016.25,-2.38%
6/8/22,4114,-1.08%
6/7/22,4158.75,0.93%
6/6/22,4120.5,0.33%
6/3/22,4107,-1.63%
6/2/22,4175.25,1.86%
6/1/22,4099,-0.78%
5/31/22,4131.25,-0.59%
5/27/22,4155.75,2.47%
5/26/22,4055.75,1.99%
5/25/22,3976.75,0.92%
5/24/22,3940.5,-0.79%
5/23/22,3971.75,1.85%
5/20/22,3899.5,0.04%
5/19/22,3897.75,-0.64%
5/18/22,3922.75,-3.97%
5/17/22,4084.75,2.00%
5/16/22,4004.75,-0.37%
5/13/22,4019.75,2.36%
5/12/22,3927.25,-0.08%
5/11/22,3930.25,-1.66%
5/10/22,3996.75,0.23%
5/9/22,3987.5,-3.20%
5/6/22,4119.5,-0.57%
5/5/22,4143.25,-3.54%
5/4/22,4295.25,3.02%
5/3/22,4169.25,0.44%
5/2/22,4151,0.57%
4/29/22,4127.5,-3.64%
4/28/22,4283.5,2.47%
4/27/22,4180.25,0.23%
4/26/22,4170.5,-2.85%
4/25/22,4292.75,0.60%
4/22/22,4267.25,-2.81%
4/21/22,4390.5,-1.46%
4/20/22,4455.5,-0.08%
4/19/22,4459.25,1.65%
4/18/22,4386.75,-0.02%
4/14/22,4387.5,-1.23%
4/13/22,4442.25,1.12%
4/12/22,4393,-0.36%
4/11/22,4409,-1.66%
4/8/22,4483.5,-0.28%
4/7/22,4496.25,0.46%
4/6/22,4475.75,-0.98%
4/5/22,4520.25,-1.26%
4/4/22,4577.75,0.85%
4/1/22,4539.25,0.19%
3/31/22,4530.75,-1.42%
3/30/22,4596,-0.64%
3/29/22,4625.5,1.26%
3/28/22,4568,0.69%
3/25/22,4536.5,0.53%
3/24/22,4512.5,1.46%
3/23/22,4447.5,-1.28%
3/22/22,4505,1.18%
3/21/22,4452.25,-0.03%
3/18/22,4453.5,1.17%
3/17/22,4402,1.21%
3/16/22,4349.5,2.05%
3/15/22,4262,2.16%
3/14/22,4172,-0.70%
3/11/22,4201.5,-1.31%
3/10/22,4257.25,-0.42%
3/9/22,4275.25,2.55%
3/8/22,4168.75,-0.71%
3/7/22,4198.5,-2.98%
3/4/22,4327.25,-0.73%
3/3/22,4359.25,-0.51%
3/2/22,4381.75,1.81%
3/1/22,4303.75,-1.47%
2/28/22,4368,-0.27%
2/25/22,4380,2.24%
2/24/22,4284,1.47%
2/23/22,4222,-1.81%
2/22/22,4300,-1.00%
2/18/22,4343.5,-0.71%
2/17/22,4374.5,-2.14%
2/16/22,4470,0.12%
2/15/22,4464.5,1.60%
2/14/22,4394,-0.35%
2/11/22,4409.5,-1.96%
2/10/22,4497.5,-1.75%
2/9/22,4577.75,1.45%
2/8/22,4512.5,0.82%
2/7/22,4475.75,-0.37%
2/4/22,4492.5,0.53%
2/3/22,4469,-2.36%
2/2/22,4577.25,0.93%
2/1/22,4535,0.68%
1/31/22,4504.25,1.83%
1/28/22,4423.25,2.44%
1/27/22,4317.75,-0.55%
1/26/22,4341.5,-0.17%
1/25/22,4349,-1.24%
1/24/22,4403.75,0.31%
1/21/22,4390,-1.89%
1/20/22,4474.75,-1.09%
1/19/22,4524.25,-1.03%
1/18/22,4571.25,-1.79%
1/14/22,4654.75,0.06%
1/13/22,4652,-1.36%
1/12/22,4716.25,0.24%
1/11/22,4705,0.92%
1/10/22,4662.25,-0.12%
1/7/22,4667.75,-0.42%
1/6/22,4687.5,-0.11%
1/5/22,4692.5,-1.92%
1/4/22,4784.25,-0.04%
1/3/22,4786,0.58%
12/31/21,4758.5,-0.29%
12/30/21,4772.25,-0.26%
12/29/21,4784.5,0.13%
12/28/21,4778.5,-0.08%
12/27/21,4782.25,1.41%
12/23/21,4715.75,0.63%
12/22/21,4686,0.98%
12/21/21,4640.75,1.80%
12/20/21,4558.5,-1.12%
12/17/21,4610,-1.06%
12/16/21,4659.25,-0.88%
12/15/21,4700.5,1.37%
12/14/21,4637,-0.68%
12/13/21,4668.75,-0.90%
12/10/21,4711,0.94%
12/9/21,4667,-0.68%
12/8/21,4699,0.30%
12/7/21,4685,2.07%
12/6/21,4590,1.16%
12/3/21,4537.5,-0.84%
12/2/21,4575.75,1.49%
12/1/21,4508.5,-1.26%
11/30/21,4566.25,-1.82%
11/29/21,4651,1.20%
11/26/21,4595.75,-2.20%
11/24/21,4699,0.22%
11/23/21,4688.5,0.19%
11/22/21,4679.75,-0.31%
11/19/21,4694.5,-0.15%
11/18/21,4701.5,0.33%
11/17/21,4686.25,-0.21%
11/16/21,4696,0.36%
11/15/21,4679,0.02%
11/12/21,4678.25,0.76%
11/11/21,4643,0.02%
11/10/21,4642,-0.77%
11/9/21,4678.25,-0.34%
11/8/21,4694,0.08%
11/5/21,4690.25,0.36%
11/4/21,4673.25,0.45%
11/3/21,4652.25,0.62%
11/2/21,4623.5,0.39%
11/1/21,4605.75,0.19%
10/29/21,4597,0.21%
10/28/21,4587.5,0.95%
10/27/21,4544.5,-0.45%
10/26/21,4565.25,0.16%
10/25/21,4558,0.47%
10/22/21,4536.5,-0.12%
10/21/21,4541.75,0.30%
10/20/21,4528,0.37%
10/19/21,4511.25,0.75%
10/18/21,4477.5,0.34%
10/15/21,4462.5,0.76%
10/14/21,4429,1.70%
10/13/21,4355,0.33%
10/12/21,4340.75,-0.24%
