Date,market_value,returns_2,returns
11/11/22,"3,992.93",0.92%,0.9241%
11/10/22,"3,956.37",5.54%,5.5434%
11/9/22,"3,748.57",-2.08%,-2.0778%
11/8/22,"3,828.11",0.56%,0.5598%
11/7/22,"3,806.80",0.96%,0.9614%
11/4/22,"3,770.55",1.36%,1.3619%
11/3/22,"3,719.89",-1.06%,-1.0586%
11/2/22,"3,759.69",-2.50%,-2.5002%
11/1/22,"3,856.10",-0.41%,-0.4101%
10/31/22,"3,871.98",-0.75%,-0.7454%
10/28/22,"3,901.06",2.46%,2.4626%
10/27/22,"3,807.30",-0.61%,-0.6083%
10/26/22,"3,830.60",-0.74%,-0.7388%
10/25/22,"3,859.11",1.63%,1.6267%
10/24/22,"3,797.34",1.19%,1.1882%
10/21/22,"3,752.75",2.37%,2.3725%
10/20/22,"3,665.78",-0.80%,-0.7951%
10/19/22,"3,695.16",-0.67%,-0.6672%
10/18/22,"3,719.98",1.14%,1.1428%
10/17/22,"3,677.95",2.65%,2.6480%
10/14/22,"3,583.07",-2.37%,-2.3663%
10/13/22,"3,669.91",2.60%,2.5966%
10/12/22,"3,577.03",-0.33%,-0.3291%
10/11/22,"3,588.84",-0.65%,-0.6519%
10/10/22,"3,612.39",-0.75%,-0.7492%
10/7/22,"3,639.66",-2.80%,-2.8004%
10/6/22,"3,744.52",-1.02%,-1.0245%
10/5/22,"3,783.28",-0.20%,-0.2018%
10/4/22,"3,790.93",3.06%,3.0584%
10/3/22,"3,678.43",2.59%,2.5884%
9/30/22,"3,585.62",-1.51%,-1.5067%
9/29/22,"3,640.47",-2.11%,-2.1126%
9/28/22,"3,719.04",1.97%,1.9672%
9/27/22,"3,647.29",-0.21%,-0.2120%
9/26/22,"3,655.04",-1.03%,-1.0341%
9/23/22,"3,693.23",-1.72%,-1.7233%
9/22/22,"3,757.99",-0.84%,-0.8428%
9/21/22,"3,789.93",-1.71%,-1.7116%
9/20/22,"3,855.93",-1.13%,-1.1272%
9/19/22,"3,899.89",0.69%,0.6857%
9/16/22,"3,873.33",-0.72%,-0.7182%
9/15/22,"3,901.35",-1.13%,-1.1318%
9/14/22,"3,946.01",0.34%,0.3387%
9/13/22,"3,932.69",-4.32%,-4.3237%
9/12/22,"4,110.41",1.06%,1.0584%
9/9/22,"4,067.36",1.53%,1.5271%
9/8/22,"4,006.18",0.66%,0.6611%
9/7/22,"3,979.87",1.83%,1.8341%
9/6/22,"3,908.19",-0.41%,-0.4095%
9/2/22,"3,924.26",-1.07%,-1.0736%
9/1/22,"3,966.85",0.30%,0.2996%
8/31/22,"3,955.00",-0.78%,-0.7817%
